,shop_name,review,stars
15,The Factory - Cafe With a Soul,""" 11/9/2016 1 check-in Listed in In Search of Fantastic Coffee So",I really didn't want to write this review. I didn't want to tell anyone how awesome The Factory - Cafe With a Soul is because I don't want it overrun and super busy with no place to sit like so many other decent coffee shops in Austin. I happened to come in here with a friend mid-week and we sat here for several hours
16,The Factory - Cafe With a Soul,11/6/2016 Really love the atmosphere here! I frequent coffee shops and this one is definitely unique and worth checking out.  Pros: great atmosphere Friendly staff Good hangout/ study environment Beautiful lighting Tasty drinks  Cons: no wifi Slightly pricey Pretty things Love all the details here. It just has good vibes. Definitely the perfect cafe atmosphere. See all photos from Sierra L. for The Factory - Cafe With a Soul,5.0 star rating
17,The Factory - Cafe With a Soul,""" 10/25/2016 1 check-in Check out this video for a review! youtube.com/watch?v=N8Kiâ¦  Cool new place in Austin! It's always great to see places doing something new and unique. The seating arrangements and atmosphere are definitely fun. One thing is that there's no internet",so don't plan on coming here to get stuff done!  You get to order on an ipad! yay.  Pros: - the drink choices are really great. You can get something that you want. You can even get beer here. - great for pictures and enjoying some time off. Sit on a swing ... while playing chase. - parking is plentiful in the plaza area. - friendly baristas  Cons: - food menu isn't too big
18,The Factory - Cafe With a Soul,""" 10/15/2016 1 check-in Note: Do not come here if you're looking for a place to work remotely! There is no WiFi and no outlets. Staff says they are hoping to create an environment where people socialize and enjoy each other's company rather than being on their phones.  For a spot to catch up with friends over coffee and pastries",I highly recommend coming here! There is ample seating
19,The Factory - Cafe With a Soul,12/1/2016 So much aesthetic in this place. I love every corner of this coffee shop. The only downside is there's no wifi. Their matcha latte is to die for! See all photos from Rojean S. for The Factory - Cafe With a Soul,4.0 star rating
20,The Factory - Cafe With a Soul,""" 10/12/2016 1 check-in Checked out The Factory this past Sunday with my husband. We wanted to try their delicious looking waffles and were definitely not disappointed.  Husband ordered an iced coffee drink that was delicious",but it wasn't as good as my Golden Age of Milk Tea
21,The Factory - Cafe With a Soul,""" 10/10/2016 This place is so cute. New favorite coffee spot on Burnet/in Northcross. Almost wish I was still in grad school",so I would have an excuse to be there everyday.  Amazing coffee and best chicken & waffles ever! The chicken was seasoned perfectly and made for a delicious savory brunch (with the house made slaw they give you on the side). The olive oil cake was also awesome
22,The Factory - Cafe With a Soul,""" 10/25/2016 Tried this new cafe spot on Burnet with a friend - unassuming storefront",the decor is quaint af and you have to order from iPads at the counter and then choose a place to sit.  Not a brunch spot as we had thought
23,The Factory - Cafe With a Soul,""" 11/16/2016 The greeting of an atmosphere it feels I created. This place speaks to my free spirited soul",with matcha lattes
24,The Factory - Cafe With a Soul,""" 11/17/2016 Craft coffee drinks",tea
25,The Factory - Cafe With a Soul,""" 12/2/2016 Okay",so after visiting my friends in LA and trying a mint mojito iced coffee
26,The Factory - Cafe With a Soul,""" 11/9/2016 1 check-in Guys","this place is amazing. Limited food menu but both waffle offerings will blow you away! Crazy good spices on the chicken. The coffee and matcha were both stellar as well. Service was friendly and efficient. The space is stunning and cozy. Highly recommend. Will be my new go-to relaxation spot in the area. """
27,The Factory - Cafe With a Soul,""" 12/2/2016 What a fantastic atmosphere. I dropped in to catch up on some work and found a fantastic atmosphere and a great staff. I wish I could work here every day. I had the Darling pour-over and olive bread",and camped out near the pop-art fabric fire in the fireplace nook. Wallace (owner) and his team were spot-on with service and help. Full disclosure: The place is so beautiful on the inside that I Instagrammed it - couldn't help it
28,The Factory - Cafe With a Soul,""" 12/1/2016 This place is amazing! No wifi",but that's fine. it's meant to be a place to hang out with friends
29,The Factory - Cafe With a Soul,""" 11/11/2016 I never write Yelp reviews",ever. But when I walked in here it felt like I was in a hipster Alice in wonderland. The decor is spot on and they left no details out. The Marymint Monroe is really amazing and the chicken and waffle is really good. The staff is so wonderful too
30,The Factory - Cafe With a Soul,""" 11/9/2016 Really cute and heavily hipster atmosphere. We tried this place late night on Saturday and enjoyed the first visit. You will want to try their swing for sure. Seating space is somewhat limited and no wifi is available",so be aware. This is more like a place for you to enjoy its atmosphere. Drinks were good
31,The Factory - Cafe With a Soul,10/13/2016 1 check-in I really enjoyed my visit here. I ordered the cortado and chicken waffle. Both were excellent.  The space is very Instagram worthy.  Awesome mural. Staff was very friendly too and I loved the iPad ordering system. Chicken waffle and cortado paired with sparkling water to cleanse the palate,5.0 star rating
32,The Factory - Cafe With a Soul,""" 11/10/2016 7 check-ins The Factory Cafe is overall such a beautiful and really cool place to just hang out with friends or work on homework. You'll probably see the people around you taking the time to perfect their aesthetic Instagram pictures and Snapchat stories (myself included). Although the cafe itself doesn't provide wifi","it's within range of other places with wifi so that shouldn't deter you from going! This place looks like it literally came straight off of Pinterest! So cute! """
33,The Factory - Cafe With a Soul,""" 11/23/2016 1 check-in My best friend and I came to The Factory after seeing it on a couple of best new Austin brunch lists. It's super cute and trendy",to the point where it feels kind of out of place in a strip mall. Although I loved the interior design and general ambiance of the place
34,The Factory - Cafe With a Soul,""" 10/16/2016 My only complaint and desire and heart wish is for this place to be open longer and to allow for Wifi. This place makes my heart happy",it motivates me to study because I want to come here
35,The Factory - Cafe With a Soul,""" 10/7/2016 1 check-in Came in on the first day of opening",hours currently 6am-2pm. At some point they'll stay open till 12 midnight. I think this might be the most beautiful cafe in Austin
36,The Factory - Cafe With a Soul,""" 11/2/2016 Interesting new coffee place with a vibe that blends posh",hipster
37,The Factory - Cafe With a Soul,""" 10/15/2016 This place is really nice. They have done a great job... It's the type of place that you could spend hours in. They have a small menu right now",but their drinks
38,The Factory - Cafe With a Soul,""" 10/18/2016 I got waffle wasted at The Factory!!! Not your average coffee shop! Super social without wifi","novel idea! """
39,The Factory - Cafe With a Soul,""" 12/2/2016 A cafe that doesn't have Wifi but makes you order from an iPad. Seriously? $2 extra for almond milk?! The latte was already $5 for 12 oz. Don't expect to have a lot of Vegan customers. There's a serious lack of customer service for the  overpriced food and beverages.  You order from an iPad",and they call out your drink. There is no interaction between the customer and employee
40,The Factory - Cafe With a Soul,""" 11/14/2016 Honestly",this place is having an identity crisis. Not a great place for a date or to meet a friend - very cute decor (props to the designer)
41,The Factory - Cafe With a Soul,10/7/2016 1 check-in Marymint Monroe  + Chicken and waffles samich = my favorite cafe in Austin.  ... Ohhh and decor is pretty sweet too,5.0 star rating
42,The Factory - Cafe With a Soul,""" 11/22/2016 Cute",eclectic furniture and lots of things to do! Gorgeous seating vignettes
43,The Factory - Cafe With a Soul,11/21/2016 1 check-in This place is fantastic! Ideal place for grabbing a frothy matcha latte and a chicken & waffle. A bit different in the way that you order. Definitely a nice hang-out for millenials or anyone who works in the area and is on a lunch break. Wifi is within reach but they don't have it themselves.,5.0 star rating
44,The Factory - Cafe With a Soul,""" 11/14/2016 Enthusiastic and earnest desire to be excellent",try new things and develop new menu ideas
45,The Factory - Cafe With a Soul,""" 10/13/2016 The factory is gonna be my new coffee spot. No words can describe the Amazing atmosphere upon walking in. Comfortable seating",hip music
46,The Factory - Cafe With a Soul,""" 11/2/2016 I was so pleasantly surprised by this place! I only went because I had time to kill and they were the only coffee shop nearby open until 2 am. But I'm so glad I tried it out. It's not your typical Austin coffee shop. The quality of the drinks here was top notch",and they offer unique food and drinks. I had the macha latte (I think that's what it was called) and it was fantastic! The people were so friendly
47,The Factory - Cafe With a Soul,""" 11/30/2016 Love this place. I really appreciate the lack of wifi. Makes it much easier to have good conversations or lose yourself in a good book. Agree that it's a bit pricey","but the drinks are really good. """
48,The Factory - Cafe With a Soul,""" 11/26/2016 1 check-in I love the deco a lot",it's a really good place to chill
49,The Factory - Cafe With a Soul,""" 11/12/2016 Great coffee","food and atmosphere! Love the set-up. Order on an iPad and they call your name out when your food is ready. """
50,The Factory - Cafe With a Soul,""" 10/30/2016 1 check-in Super cute place for lounging and chatting up with a friend. The chicken and waffle was delicious. Chicken was cooked to perfection! Super moist chicken with fluffy waffle...more of a snack than a meal","so don't go here expecting to be filled with a meal. """
51,The Factory - Cafe With a Soul,10/29/2016 First time checking this place out first time. Pretty swag. Nice assortment of drinks. I got the 15 minutes of fame. Also got the poptart. Delicious!  Next time I'll try the Marymount Monroe. Will definitely come back soon.,5.0 star rating
52,The Factory - Cafe With a Soul,""" 10/19/2016 The matcha lattes are amazing! Great atmosphere",great food and drink
53,The Factory - Cafe With a Soul,""" 10/6/2016 First to Review The Factory is AWESOME! What a great spot! I had the chicken and waffles (new take",but I now have cravings for them!)
54,The Factory - Cafe With a Soul,""" 11/21/2016 This spot is super cute (""""like eating in a Pottery Barn"""")",with drinks that are unique and with a somewhat limited menu. We tried the chicken and waffles
55,The Factory - Cafe With a Soul,""" 10/7/2016 Love the Factory. Good coffee","tasty chicken and waffles and awesome atmosphere. Definitely recommend the Nutella waffle. """
56,The Factory - Cafe With a Soul,10/28/2016 AMAZING atmosphere! I walked around for 5 minutes looking at everything before even ordering.  Most unique take on chicken and waffles I've ever had. Hands down best night time hangout in North Austin. P.S.... their Matcha Latte is to die for!,5.0 star rating
57,The Factory - Cafe With a Soul,""" 10/9/2016 1 check-in I am very impressed with this place. The food portions were so perfect and not mention delicious! The waffle architects (staff) were all so accommodating and nice. We were able to talk to one of the owners for a bit and he was very helpful with his recommendations and accurate. I highly recommend this place. I will definitely be coming back when I am in Austin again. Nutella and Banana waffles. Chicken and Waffles",Olive Oil Pound Cake
58,The Factory - Cafe With a Soul,""" 11/20/2016 This is a tough one for me.  I took my children here as a treat one afternoon and our first impression was good.  I liked the decor and the place has swings and a chess set!  Score for the kids! I went to place my order and had to use an ipad.  It was DIY-ordering.  I hit the wrong button of course and ended up messing up my order and having to redo the whole thing.  Not too thrilled with the ipad idea but I moved on.  I sat down and when our drinks were ready","they called my name to go get them.  They had a tip jar on the counter.  I have an issue with this since I had to place my own order and then go get my own drink.  I'm not sure what they did extra that constitutes a tip?  The milk tea was delicious!  The kids loved their drinks and """"pop tarts.""""  I started glancing at some of the books laying on the table and the first one I picked up was on tattoos and had a few nude people inside.  I pushed that one aside to be sure the kids didn't pick it up.  I went to use the restroom and framed on the hall wall was a picture with the F-word all over it.  Hmm"
59,The Factory - Cafe With a Soul,10/16/2016 Amazing coffee! Waffle banana and nutella is incredible! Beautiful place! The service is great! Everything is just perfect!,5.0 star rating
60,The Factory - Cafe With a Soul,""" 10/9/2016 The cafe is beautiful",the coffee was fantastic and very well presented
61,The Marvelous Vintage Tea Party Co.,""" 9/14/2016 Working with Sophie is an amazing","unique experience. Her creativity blows me away every single time. I would Highly recommend booking her for your next event! """
62,The Marvelous Vintage Tea Party Co.,""" 5/4/2015 My wife and I used Sophie and her team to organize all the details of a 1914-themed party to celebrate the 100th birthday of our house.  Every detail was perfect (and there were LOTS of details: vintage dance lessons",tin type photography
63,The Marvelous Vintage Tea Party Co.,""" 5/13/2015 I have worked with Sophie and her team and they are just such a pleasure! Fantastic and actually vintage pieces",great attention to detail
64,The Marvelous Vintage Tea Party Co.,""" 11/1/2013 Sophie and her marvelous staff hosted my engagement/ our birthday party. It was a 1020s themed putting on the ritz. Best party I have ever had and her staff is so fun and professional. Along with Sophie herself who is all class and grace. She put so much detail into my party","it was better than I could ever imagine. Thank you so much for the best night ever and taking all the stress away. """
65,The Marvelous Vintage Tea Party Co.,""" 4/16/2013 Sophie hosted an amazing vintage tea party for my daughter's girl scout troop. The decor was beautiful","she creates a wonderful atmosphere. The girls had an amazing time and loved every minute of it. My daughter even asked if she can have a tea party for her birthday. It was just a wonderful experience. Thank you Sophie! """
66,The Marvelous Vintage Tea Party Co.,""" 4/23/2012 First to Review Loved having Sophie come out and put together a tea party at my house...she is a doll and so professional. Enormously helpful that she also offers vintage hair and makeup services; my girlfriends and I were able to go all out! Definitely a unique experience...it's not your grandmother's tea party","that's for sure  :) """
67,The Marvelous Vintage Tea Party Co.,""" 11/19/2012 Sophie at Marvelous Vintage Tea Party Company was absolutely amazing to work with. She puts in a huge amount of time and effort into planning exactly what you want at a budget you are comfortable with. What I especially liked about this was the fact that she's willing to let customers handle certain aspects of the event if they'd like to make their budget smaller. For example",she suggested we purchase our own flowers at wholesale. She also has connections with a liquor merchant in Austin that allows you 15% off your alcohol purchases for the event--a fantastic deal! In terms of venue
68,The Marvelous Vintage Tea Party Co.,""" 6/25/2012 I randomly ended up and at one of these vintage tea parties a few months ago for one of my buddy's 30th B-day! What a delightful experience! I have no point of comparison",because there is nothing like this in Texas
69,The Marvelous Vintage Tea Party Co.,2/21/2014 Omg Sophia the owner is amazing. She is so professional and delightful to work with. Her inventory of  decor is so beautiful .I threw a mad hatters tea party bridle shower for a dear friend and rented  all the decor from the marvelous vintage tea party co. It helped really set off my party. Everybody was amazed .Sophia is a angel and would highly recommend her to anyone.,5.0 star rating
70,The Marvelous Vintage Tea Party Co.,""" 5/21/2013 Sophie !  Is simply amazing ! She made my event beyond wonderful. It was a lovely unique baby shower!  The marvelous vintage tea party was beyond my expectations ! The food was delicious",the decor was astounding
71,Vintage Heart Coffee,""" 7/15/2016 2 check-ins Vintage heart has the best cold brew in Austin. There I said it. I've worked at a few coffee shops and I still give them this kudos.  I love this east side coffee shop. It's cozy",the staff is friendly
72,Vintage Heart Coffee,""" 11/17/2016 Listed in Master List of Vivian's Eats Ehhh. Wasn't my cup of tea.  I swung by this tiny coffeeshop on a cold February evening with my significant other. We were meeting someone for an career-focused informational interview. I have to give kudos for Vintage Heart for the awesome decor - the inside actually made me feel like I was in a pioneer-era general store. Cozy",quaint
73,Vintage Heart Coffee,""" 9/24/2016 2 check-ins I've tried the hot tea",peach oolong iced tea
74,Vintage Heart Coffee,""" 9/3/2016 Don't really get the hype / high ratings this place has. Don't get me wrong",it's perfectly fine
75,Vintage Heart Coffee,""" 11/5/2016 Cozy",warm and comforting...all the makings of a go  to local coffee house in east Austin. The cortado was bold and the cafe au lait was filled with frothy warm milk to top off a smooth drip coffee. There's not much in the area besides a few food trucks
76,Vintage Heart Coffee,""" 12/4/2016 1 check-in Excellent space for a bit of studying",low-key work
77,Vintage Heart Coffee,""" 10/18/2016 1 check-in This was hands down my favorite coffee shop during my short stay in Austin.  The atmosphere was cozy and even though there was only one girl as cashier and barista",she was fairly quick taking orders and making the drinks which was impressive!  The syrups they offer (vanilla
78,Vintage Heart Coffee,""" 9/27/2016 1 check-in Cute coffee place to meet a friend or read. Not great for working (not a ton of outlets or space)",but still a cute coffee shop. There is a little parking in the front and some in the back
79,Vintage Heart Coffee,""" 6/30/2016 Updated review 3 check-ins Cutest little coffee shop in town. So hip and perfect for reading a book or enjoying a quiet cup of coffee. The vibe is chill and relaxed and the decor is a lovely mix of industrial and shabby chic.  I normally get lattes here and they are hot",not too sweet and delicious. The americanos are also well done with no bitterness. Very consistent quality! My favorite food nom noms used to be the doughnuts (coffee and lavender are kick ass)
80,Vintage Heart Coffee,""" 6/4/2016 1 check-in Vintage Heart Coffee is by far the best coffeehouse to study/read/work in Austin. The shop has very vintage and cute Decors. Background music is not overwhelming and it is a quiet coffeehouse! it is pretty small but has plenty of seating. Outlets everywhere",that's always a pls!  My favorite coffees are lavender iced latte and vanilla iced latte. Very strong coffee flavor with fresh milk and their homemade flavors. Fantastic!  Love this place. I always feel very accomplished coming here and getting things done. Ps. The staffs are very nice
81,Vintage Heart Coffee,""" 6/20/2016 5 check-ins Cute shop where coffee is no joke. Ask about the homemade syrups! Mocha",lavender
82,Vintage Heart Coffee,""" 3/18/2016 1 check-in Listed in Yelp 100 Challenge 2016",sweet tooth fix
83,Vintage Heart Coffee,""" 2/25/2016 1 check-in Let's get to the heart of the matter: their vanilla iced latte is amazing. Ok",above else
84,Vintage Heart Coffee,""" 8/8/2016 Some really great things:  SOFAS! Three of them. For someone who puts sofa seating as the number one on my coffee shop must-haves",this was a great find.  Delicious lavender soy latte made my day. A unique
85,Vintage Heart Coffee,""" 10/8/2016 1 check-in Stopped here after lunch as we were walking around and wanted a drink in hand during our stroll. I'm not much of a coffee drinker so I'm probably not the most qualified person to review a coffee shop but I am a big fan of iced tea. The interior is relatively small but there are an assortment of sofas and chairs if you are trying to get some work done/study. I got the lavender lemonade which was really good","nice creativity there with the mix of lemonade and lavender. """
86,Vintage Heart Coffee,""" 1/30/2016 2 check-ins This place is literally so cute. I only got coffee to go this time but I'll definitely come back and study here. Parking is a little limited in the lot but there's a pay to park on the street. You only need to pay tues-Saturday 6pm-12 am. Internet password is ilovepuppies  This place offers coffee and little treats. They make their own syrups so it's super delicious and blends well into the coffee rather than stick at the bottom like Starbucks. I got a vanilla latte and my BF got the lavender latte. Both were delicious! It was a good amount of sweet. I'm not a huge fan of lavender but I actually enjoyed it! It has a really nice fragrant taste and not too overpowering.  This is probably going to become one of my go tos. I'm pretty obsessed with the decor in here: cute paintings",succulents
87,Vintage Heart Coffee,""" 7/4/2016 1 check-in Listed in ATX Coffee Fix Bucolic and quaint come to mind when visiting Vintage Heart. I like how there is plenty of natural light near the front.  Parking can be a hassle even during weekday work hours when most people would be working. There are some parking spots near the back but if you do snag a spot",be forewarned that it may be hard to get out if some customers end up choosing to park near the fence
88,Vintage Heart Coffee,9/23/2016 2 check-ins One of my favorite places to come and study! Its a bigger coffeshop than most and I really liked their tea and how they put everything in mason jars. The staff wasnt that friendly though... And they dont really have any food so i givie it 4 stars. However the interior design is really cute and its a good place to go study.,4.0 star rating
89,Vintage Heart Coffee,""" 7/19/2016 1 check-in Quaint coffee house",kind of feels like your friend's living room. It's dimly lit and isn't air conditioned as well as other cafes in the area so it was only semi comfortable for me to get some work done.  The coffee is good
90,Vintage Heart Coffee,""" 11/19/2015 2 check-ins Listed in Life is like a cup of coffee This place is quiet! I mean shhh quiet making it the perfect place to get some work done. The background music is barely noticeable",there are ample electrical plugs throughout the coffee shop and it is comfortable.  I had 30 minutes to spare on the east side nearby Vintage Coffee and decided to cozy up with a cold brew and a Topo Chico. Service was friendly and I was happy with their selection of caffeine and variety of mineral waters. I haven't been drinking coffee for about 15 months so I was timid about going for the cold brew. The barista on duty shared that it is pretty mild and it is as blend a couple different coffees. I also opted for a Topo Chico. The cold brew was on the mild side and was served up in a mason jar. I found a comfortable couch and enjoyed my caffeinated beverage.  Tips: The wifi password is ilovepuppies
91,Vintage Heart Coffee,""" 7/3/2016 1 check-in A 6 people lounge bar splaid through the middle concave of this modern day coffee tavern sets a mood of rustic and yet alive. The barista accommodated my off menu tea latte with almond milk and got it frothy",a tricky thing to do. The trickster was even in a band and I played his song through my phone waves. Really epic
92,Vintage Heart Coffee,5/24/2016 1 check-in Really sweet coffee shop on the east side. I expected something super hipster but it was actually just calm and simple. They make a solid cappuccino and there are tables outside so you can sit and observe a typical East 7th morning.  Bonus points for going green with cloth napkins!,4.0 star rating
93,Vintage Heart Coffee,""" 4/27/2016 Really dug this place. Chill vibe",tasty espresso
94,Vintage Heart Coffee,""" 9/18/2016 I was not impressed. First of all",parking was a huge hassle and that sets the tone for anything that comes after. The AC was also broken so it was extremely hot indoors. All of the chairs are itty bitty and made out of cheap wood
95,Vintage Heart Coffee,""" 4/18/2016 1 check-in Alright here's the low down",I'm a sucker for drinks in a mason jar.  As soon as I see Yelp pictures of this
96,Vintage Heart Coffee,""" 5/3/2016 I was looking for a not too busy",not too loud coffee shop recently that would be convenient to two of us coming from downtown and one coming from Northeast Austin. Harder to find than you would think... A friend mentioned she thought Vintage Heart was not too loud and I might like it.  Done!  Made that appointment and showed up early to scope the place out. There were a few people scattered here and there at 1pm midweek
97,Vintage Heart Coffee,""" 4/22/2016 1 check-in Nice hipster coffee joint on 6th street with plenty of outlets and easy wifi access",making it a nice spot to sit down and get some work done while you sip your coffee. All syrups are made in house and the pastry selection includes some gluten free options. Had a nice vanilla/cinnamon latte
98,Vintage Heart Coffee,""" 6/11/2016 Totally the Austin vibe we were searching for. The art in the back parking lot was kickass and beautiful","and the drinks inside didn't disappoint. Bae remarked that this was """"hands down the best vanilla latte I've had."""" I had a Violet Femme iced tea (lavender earl grey) that was super.  The reason it gets five stars: our barista was super friendly and accommodating. She asked us - yes asked us - if we needed the wifi password. And I nearly passed out with cuteness overload when she gave it to us (that's a secret that you'll have to stop by to experience). She also gave us a ton of places to check out for brunch and hanging; they were spot on and totally our pace and level of weirdness.  All in all"
99,Vintage Heart Coffee,9/4/2016 2 check-ins Second attempt at the place due to its excellent Yelp rating but can't get past the ammonia smell and stark/clinical atmosphere to order anything. Limited vehicle parking; best accessed by foot or bicycle.,1.0 star rating
100,Vintage Heart Coffee,""" 3/22/2016 1 check-in Okay... So listen",I wanted to like this place. Truly
101,Vintage Heart Coffee,10/9/2016 The coffee shop itself is cute and clean.  The lavender latte is definitely worth trying at least once.  It's lightly sweet and distinctly floral.  The only drawback to this place is that there's usually only one person working behind the counter so things can be kind of slow going if there's a line.,4.0 star rating
102,Vintage Heart Coffee,""" 10/30/2016 Price: $ Portion: 4/5 Selection: 4/5 Friendliness: 5/5 Convenience: 4/5  Coffees are slightly (25 cents) cheaper than what I normally see. They have a good selection of baked goods (scones",muffins
103,Vintage Heart Coffee,""" 2/16/2016 1 check-in Listed in 2016 Yelp 100 Challenge",Austin It's a cute little place along 7th street. It seems like it used to be someone's home. There are couple of parking spots in front
104,Vintage Heart Coffee,""" 8/31/2015 Snapshot: 4.4/5 Coffee Flavor 5/5 Atmosphere",4/5 Location/Parking  Great vibe that's offers wifi
105,Vintage Heart Coffee,10/25/2016 Seriously just meh. Coffee Meh. Atmosphere even more meh and looked like it just opened. Snack/pastry selection...meh. Customer service meh.. Looked like a great place to study though!,2.0 star rating
106,Vintage Heart Coffee,""" 2/14/2016 2 check-ins Super cute place",and my only critique is that there is not enough parking. I came here on a Sunday so thankfully street parking was free. Idk if I would've bothered to stay and pay for parking on any other day of the week.  There could also be more seats...  I ordered an iced caramel latte
107,Vintage Heart Coffee,""" 2/18/2016 1 check-in Listed in Hello Yelp 100 - it's 2016",My Fix
108,Vintage Heart Coffee,""" 8/7/2016 1 check-in Classic coffee combos",great prices that include tax. The espresso wasn't as strong as I hoped
109,Vintage Heart Coffee,10/24/2016 I really enjoyed my vanilla latte and also enjoyed the atmosphere. The barista behind the counters was very friendly and helpful. The only thing was the parking situation was not ideal but typical Austin. I will be going back soon.,5.0 star rating
110,Vintage Heart Coffee,""" 2/25/2016 Love this place even though parking is a pain in the...  I feel like I had to drive through some hood alley in order to park over some slanted and not very leveled rock supported road.  Love the little artwork outside too.  Staff were nice and friendly.  Coffee was on point",but not out of this world.    Good place to just sit down for some peace and quiet or to study.  I wouldn't come here again just for the coffee
111,Vintage Heart Coffee,""" 6/8/2016 1 check-in Cute little quaint place in Austin. The menu selection is small with only a few coffees",teas
112,Vintage Heart Coffee,""" 7/11/2016 16 check-ins This is one of my favorite coffee shops. They've always had the friendly baristas. It's small enough to be cozy",but big enough to find seating. Lighting seems low enough to feel comfortable
113,Vintage Heart Coffee,""" 6/11/2016 One of my favorite coffee shops in town. I like to bring people here because this place is unique and unlike any other. The decor is fresh and quirky and the establishment is VERY clean. Parking is a little difficult but if the lot is full you can park on a side street to walk there. My favorite drink is the iced vanilla latte with lavender. I would never think to put lavender in my drink but it's SO delightful. I highly recommend! It's a good spot to chill and relax. Also",the staff is super friendly and nice. Keep it up
114,Vintage Heart Coffee,6/18/2016 Cute little coffee shop on the east side one of my favorite places to get my morning vanilla lavender latte :) The only negative thing I have to say about this place is that during the summer months it gets really hot inside. Which makes it not very enjoyable for people trying to relax and study. Besides that I love the environment and the coffee is top notch!,5.0 star rating
115,Vintage Heart Coffee,""" 9/17/2016 I work at the food truck next door and Vintage Heart's coffee and cold brew is the fuel that keeps me running. Dark",strong
116,Vintage Heart Coffee,""" 4/17/2016 3 check-ins I am a picky person when it comes to coffee. I rarely drink it due to my heightened sense of taste and smell. The burnt beans and acidic flavor can sometimes be overwhelming at certain places. Vintage Heart Coffee is one of the very few places where I love to go and actually get myself a cup of coffee. Their lavender latte is UH-MAY-ZING. I really liked it with the almond milk",too. It has this subtle scent of lavender and toasted marshmallow. The ambience is so cute and cozy
117,Vintage Heart Coffee,""" 7/19/2016 We went to many places in Austin within 2 days and Vintage Heart is absolutely my favorite local coffee shop. I love the location",the decor and of course
